timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329551.6749077,29.146,17.134,0.014,62.986,15.88,0,0.000
1773329551.7416427,32.281,14.681,0.010,65.735,15.21,0,0.000
1773329551.813592,31.843,15.228,0.015,71.081,14.07,0,0.000
1773329551.874752,27.184,15.290,0.013,59.775,16.73,0,0.000
1773329551.9412918,33.292,16.637,0.014,65.706,15.22,0,0.000
1773329552.0085914,32.210,14.666,0.012,66.342,15.07,0,0.000
1773329552.074497,31.970,14.775,0.014,65.052,15.37,0,0.000
1773329552.141521,32.319,15.264,0.015,65.978,15.16,0,0.000
1773329552.208023,31.750,14.679,0.012,65.616,15.24,0,0.000
1773329552.2766669,32.009,14.886,0.014,67.640,14.78,0,0.000
1773329552.3411863,30.267,15.166,0.013,63.619,15.72,0,0.000
1773329552.414934,32.302,15.098,0.016,72.786,13.74,0,0.000
1773329552.4810658,32.284,24.334,0.017,58.410,17.12,0,0.000
1773329552.5515347,36.486,25.609,0.022,69.246,14.44,0,0.000
1773329552.6075895,22.901,14.271,0.013,54.558,18.33,0,0.000
1773329552.674118,32.931,14.867,0.014,65.481,15.27,0,0.000
1773329552.7405787,32.766,14.301,0.010,65.516,15.26,0,0.000
1773329552.8122213,32.261,15.028,0.010,70.706,14.14,0,0.000
1773329552.874053,30.409,15.258,0.013,60.710,16.47,0,0.000
1773329552.941143,31.997,14.279,0.008,66.001,15.15,0,0.000
1773329553.0072992,33.904,14.319,0.013,65.166,15.35,0,0.000
1773329553.0739572,32.171,14.889,0.011,65.704,15.22,0,0.000
1773329553.1404252,31.940,14.269,0.008,65.543,15.26,0,0.000
1773329553.2081625,32.292,15.215,0.012,66.771,14.98,0,0.000
1773329553.2739716,30.849,14.532,0.013,64.795,15.43,0,0.000
1773329553.34032,29.693,14.238,0.011,63.149,15.84,0,0.000
1773329553.4070432,32.628,14.842,0.010,65.937,15.17,0,0.000
1773329553.4737759,33.473,14.279,0.012,65.785,15.20,0,0.000
1773329553.5402672,31.924,14.207,0.013,65.632,15.24,0,0.000
1773329553.6072705,32.432,14.976,0.014,66.067,15.14,0,0.000
1773329553.6736314,31.918,14.293,0.014,65.567,15.25,0,0.000
1773329553.740355,32.127,14.230,0.011,65.755,15.21,0,0.000
1773329553.8121653,31.953,14.248,0.014,70.946,14.10,0,0.000
1773329553.873539,32.199,15.219,0.014,60.079,16.64,0,0.000
1773329553.9408174,32.652,14.322,0.011,66.417,15.06,0,0.000
1773329554.0068,31.410,14.266,0.010,64.848,15.42,0,0.000
1773329554.0735254,33.061,15.888,0.018,65.749,15.21,0,0.000
1773329554.140239,31.994,14.249,0.010,65.684,15.22,0,0.000
1773329554.206855,31.915,14.301,0.012,65.669,15.23,0,0.000
1773329554.2734811,31.754,14.320,0.012,65.302,15.31,0,0.000
1773329554.3406224,31.938,14.892,0.013,66.227,15.10,0,0.000
1773329554.4065952,31.333,14.317,0.031,64.761,15.44,0,0.000
1773329554.4733233,32.234,14.271,0.012,65.908,15.17,0,0.000
1773329554.540066,31.900,14.279,0.013,65.507,15.27,0,0.000
1773329554.6065829,32.544,15.234,0.012,65.692,15.22,0,0.000
1773329554.67333,32.187,14.296,0.012,65.669,15.23,0,0.000
1773329554.7399943,32.498,14.270,0.011,65.857,15.18,0,0.000
1773329554.8083637,31.954,14.314,0.014,67.350,14.85,0,0.000
1773329554.8731418,34.449,14.357,0.015,63.701,15.70,0,0.000
1773329554.939866,33.822,14.384,0.013,65.790,15.20,0,0.000
1773329555.0064352,32.103,14.344,0.013,65.760,15.21,0,0.000
1773329555.07313,32.300,14.467,0.013,65.600,15.24,0,0.000
1773329555.1411612,31.706,14.268,0.013,66.999,14.93,0,0.000
1773329555.2063236,30.572,14.721,0.011,64.182,15.58,0,0.000
1773329555.2728043,31.974,14.247,0.011,65.517,15.26,0,0.000
1773329555.3395617,36.251,14.940,0.020,65.831,15.19,0,0.000
1773329555.4061627,32.534,14.347,0.013,65.798,15.20,0,0.000
1773329555.472925,32.444,14.296,0.014,65.721,15.22,0,0.000
1773329555.5394566,33.205,14.387,0.011,65.733,15.21,0,0.000
1773329555.6062052,32.347,14.381,0.014,65.823,15.19,0,0.000
1773329555.6727977,31.999,14.370,0.014,65.767,15.21,0,0.000
1773329555.7399209,32.150,14.344,0.012,66.109,15.13,0,0.000
1773329555.8072548,31.474,14.562,0.013,66.371,15.07,0,0.000
1773329555.872878,34.873,15.744,0.012,64.298,15.55,0,0.000
1773329555.9394178,31.929,14.327,0.012,65.739,15.21,0,0.000
1773329556.0060759,32.138,14.538,0.011,65.698,15.22,0,0.000
1773329556.0735786,32.559,14.331,0.012,66.558,15.02,0,0.000
1773329556.139267,31.240,14.757,0.012,64.755,15.44,0,0.000
1773329556.2084646,32.281,14.523,0.011,68.390,14.62,0,0.000
1773329556.2724986,30.009,14.313,0.015,63.050,15.86,0,0.000
1773329556.3392012,32.080,14.315,0.011,65.824,15.19,0,0.000
1773329556.4080865,32.190,14.770,0.013,67.856,14.74,0,0.000
1773329556.472364,29.672,14.426,0.012,63.316,15.79,0,0.000
1773329556.5390854,32.095,14.303,0.012,65.144,15.35,0,0.000
1773329556.6057997,32.042,14.595,0.012,65.790,15.20,0,0.000
1773329556.6723442,31.203,14.286,0.012,64.668,15.46,0,0.000
1773329556.7395523,32.988,14.356,0.010,66.306,15.08,0,0.000
